series,date,gdp,gni,gdp_capita,gni_capita
abs,1947-01-01,3531.0,3511.0,719.0,715.0
abs,1948-01-01,3619.0,3580.0,726.0,718.0
abs,1949-01-01,3550.0,3400.0,699.0,669.0
abs,1950-01-01,5345.0,4765.0,1023.0,912.0
abs,1951-01-01,7520.0,6840.0,1409.0,1282.0
abs,1952-01-01,6350.0,6155.0,1153.0,1118.0
abs,1953-01-01,5780.0,5690.0,1013.0,997.0
abs,1954-01-01,,,,
abs,1955-01-01,4992.0,4756.0,824.0,785.045
abs,1956-01-01,5060.0,4842.0,809.0,774.0
abs,1957-01-01,5126.0,4948.0,816.0,788.0
abs,1958-01-01,4896.0,4758.0,753.0,731.0
abs,1959-01-01,5527.0,5316.0,825.0,793.0
abs,1960-01-01,5866.0,5616.0,723.0,692.0
abs,1961-01-01,5822.0,5633.0,695.0,672.0
abs,1962-01-01,6127.0,5985.0,708.0,692.0
abs,1963-01-01,7684.0,7513.0,861.0,842.0
abs,1964-01-01,8187.0,7960.0,893.0,868.0
abs,1965-01-01,9050.0,8776.0,959.0,930.0
abs,1966-01-01,9623.0,9344.0,989.0,960.0
abs,1967-01-01,9762.0,9647.0,976.0,964.0
abs,1968-01-01,10195.0,10074.0,994.0,983.0
abs,1969-01-01,11218.0,10939.0,1068.0,1042.0
abs,1970-01-01,11829.0,11644.0,1087.0,1070.0
abs,1971-01-01,12955.0,12592.0,1161.0,1128.0
abs,1972-01-01,14220.0,13842.0,1243.0,1210.0
abs,1973-01-01,18723.0,18064.0,1598.0,1541.0
abs,1974-01-01,22858.0,21861.0,1905.0,1822.0
abs,1975-01-01,22332.0,21606.0,1816.0,1757.0
abs,1976-01-01,28085.0,26988.0,2231.0,2144.0
abs,1977-01-01,32340.0,31064.0,2507.0,2408.0
abs,1978-01-01,37886.0,36186.0,2870.0,2741.0
abs,1979-01-01,46424.0,44354.0,3434.0,3281.0
abs,1980-01-01,53308.0,51390.0,3841.0,3703.0
abs,1981-01-01,57613.0,55602.0,4041.0,3900.0
abs,1982-01-01,62599.0,59710.0,4273.0,4075.0
abs,1983-01-01,70444.0,66033.0,4681.0,4388.0
abs,1984-01-01,79550.0,74182.0,5149.0,4801.0
abs,1985-01-01,77470.0,71962.0,4878.0,4531.0
abs,1986-01-01,71594.0,66818.0,4384.0,4092.0
abs,1987-01-01,81085.0,76104.0,4834.0,4537.0
abs,1988-01-01,92370.0,87286.0,5364.0,5069.0
abs,1989-01-01,105233.0,99330.0,5958.0,5624.0
abs,1990-01-01,119081.0,114017.0,6578.0,6299.0
abs,1991-01-01,135124.0,128324.0,7285.0,6919.0
abs,1992-01-01,150682.0,142676.0,7903.0,7483.0
abs,1993-01-01,172194.0,163928.0,8785.0,8363.0
abs,1994-01-01,195461.0,186049.0,9704.0,9237.0
abs,1995-01-01,222473.0,212095.0,10757.0,10255.0
abs,1996-01-01,253732.0,241931.0,11956.0,11399.0
abs,1997-01-01,281795.0,266699.0,12945.0,12251.0
abs,1998-01-01,283243.0,267923.0,12682.0,11996.0
abs,1999-01-01,300764.0,279878.0,13129.0,12217.0
abs,2000-01-01,356401.0,327492.0,15169.0,13939.0
abs,2001-01-01,352579.0,326956.0,14672.0,13606.0
abs,2002-01-01,383213.0,358152.0,15614.0,14593.0
abs,2003-01-01,418769.0,396232.0,16725.0,15825.0
abs,2004-01-01,474048.0,449646.0,18560.0,17605.0
abs,2005-01-01,543578.0,519635.0,20870.0,19951.0
abs,2006-01-01,596784.0,579490.0,22478.0,21826.0
abs,2007-01-01,665340.0,651355.0,24589.0,24073.0
abs,2008-01-01,769949.0,746915.0,27929.0,27094.0
abs,2009-01-01,712857.0,698643.0,25385.0,24880.0
abs,2010-01-01,821434.0,795303.0,28733.0,27819.0
abs,2011-01-01,911733.0,890133.0,31372.0,30629.0
abs,2012-01-01,971252.0,935410.0,32913.0,31698.0
abs,2013-01-01,1018614.0,984639.0,33714.0,32589.0
abs,2014-01-01,1106443.0,1069819.0,36030.0,34838.0
abs,2015-01-01,1176941.0,1144829.0,37739.0,36710.0
abs,2016-01-01,1249698.0,1215105.0,39505.0,38412.0
abs,2017-01-01,1372309.832,1333651.56,42854.45,41647.23
abs,2018-01-01,1447760.0,1402677.0,44709.0,43316.0
abs,2019-01-01,1512738.0,1473242.0,46513.0,45298.0
abs,2020-01-01,1418491.0,1389971.0,43717.0,42838.0
abs,2021-01-01,1548898.0,1506745.0,47547.0,46253.0
abs,2022-01-01,1791358.0,1731944.0,54785.0,52968.0
growth_yoy,1948-01-01,2.492,1.965,0.974,0.42
growth_yoy,1949-01-01,-1.907,-5.028,-3.719,-6.825
growth_yoy,1950-01-01,50.563,40.147,46.352,36.323
growth_yoy,1951-01-01,40.692,43.547,37.732,40.57
growth_yoy,1952-01-01,-15.559,-10.015,-18.169,-12.793
growth_yoy,1953-01-01,-8.976,-7.555,-12.142,-10.823
growth_yoy,1954-01-01,,,,
growth_yoy,1955-01-01,,,,
growth_yoy,1956-01-01,1.362,1.808,-1.82,-1.407
growth_yoy,1957-01-01,1.304,2.189,0.865,1.809
growth_yoy,1958-01-01,-4.487,-3.84,-7.721,-7.234
growth_yoy,1959-01-01,12.888,11.728,9.562,8.482
growth_yoy,1960-01-01,6.134,5.643,-12.364,-12.736
growth_yoy,1961-01-01,-0.75,0.303,-3.873,-2.89
growth_yoy,1962-01-01,5.239,6.249,1.871,2.976
growth_yoy,1963-01-01,25.412,25.53,21.61,21.676
growth_yoy,1964-01-01,6.546,5.95,3.717,3.088
growth_yoy,1965-01-01,10.541,10.251,7.391,7.143
growth_yoy,1966-01-01,6.331,6.472,3.128,3.226
growth_yoy,1967-01-01,1.444,3.243,-1.314,0.417
growth_yoy,1968-01-01,4.436,4.426,1.844,1.971
growth_yoy,1969-01-01,10.034,8.586,7.445,6.002
growth_yoy,1970-01-01,5.447,6.445,1.779,2.687
growth_yoy,1971-01-01,9.519,8.142,6.808,5.421
growth_yoy,1972-01-01,9.765,9.927,7.063,7.27
growth_yoy,1973-01-01,31.667,30.501,28.56,27.355
growth_yoy,1974-01-01,22.085,21.02,19.212,18.235
growth_yoy,1975-01-01,-2.301,-1.166,-4.672,-3.568
growth_yoy,1976-01-01,25.761,24.91,22.852,22.026
growth_yoy,1977-01-01,15.15,15.103,12.371,12.313
growth_yoy,1978-01-01,17.149,16.489,14.479,13.829
growth_yoy,1979-01-01,22.536,22.572,19.652,19.701
growth_yoy,1980-01-01,14.829,15.863,11.852,12.862
growth_yoy,1981-01-01,8.076,8.196,5.207,5.32
growth_yoy,1982-01-01,8.654,7.388,5.741,4.487
growth_yoy,1983-01-01,12.532,10.59,9.548,7.681
growth_yoy,1984-01-01,12.927,12.341,9.998,9.412
growth_yoy,1985-01-01,-2.615,-2.993,-5.263,-5.624
growth_yoy,1986-01-01,-7.585,-7.148,-10.127,-9.689
growth_yoy,1987-01-01,13.257,13.897,10.265,10.875
growth_yoy,1988-01-01,13.917,14.693,10.964,11.726
growth_yoy,1989-01-01,13.926,13.798,11.074,10.949
growth_yoy,1990-01-01,13.159,14.786,10.406,12.002
growth_yoy,1991-01-01,13.472,12.548,10.748,9.843
growth_yoy,1992-01-01,11.514,11.184,8.483,8.151
growth_yoy,1993-01-01,14.276,14.895,11.16,11.76
growth_yoy,1994-01-01,13.512,13.494,10.461,10.451
growth_yoy,1995-01-01,13.82,14.0,10.851,11.021
growth_yoy,1996-01-01,14.051,14.067,11.146,11.156
growth_yoy,1997-01-01,11.06,10.238,8.272,7.474
growth_yoy,1998-01-01,0.514,0.459,-2.032,-2.081
growth_yoy,1999-01-01,6.186,4.462,3.525,1.842
growth_yoy,2000-01-01,18.499,17.012,15.538,14.095
growth_yoy,2001-01-01,-1.072,-0.164,-3.276,-2.389
growth_yoy,2002-01-01,8.689,9.541,6.42,7.254
growth_yoy,2003-01-01,9.278,10.632,7.115,8.442
growth_yoy,2004-01-01,13.2,13.48,10.972,11.248
growth_yoy,2005-01-01,14.667,15.565,12.446,13.326
growth_yoy,2006-01-01,9.788,11.519,7.705,9.398
growth_yoy,2007-01-01,11.488,12.401,9.391,10.295
growth_yoy,2008-01-01,15.723,14.671,13.583,12.549
growth_yoy,2009-01-01,-7.415,-6.463,-9.109,-8.172
growth_yoy,2010-01-01,15.231,13.835,13.189,11.813
growth_yoy,2011-01-01,10.993,11.924,9.185,10.101
growth_yoy,2012-01-01,6.528,5.087,4.912,3.49
growth_yoy,2013-01-01,4.876,5.263,2.434,2.811
growth_yoy,2014-01-01,8.622,8.651,6.87,6.901
growth_yoy,2015-01-01,6.372,7.011,4.743,5.373
growth_yoy,2016-01-01,6.182,6.139,4.68,4.636
growth_yoy,2017-01-01,9.811,9.756,8.479,8.422
growth_yoy,2018-01-01,5.498,5.176,4.328,4.007
growth_yoy,2019-01-01,4.488,5.031,4.035,4.576
growth_yoy,2020-01-01,-6.23,-5.652,-6.011,-5.431
growth_yoy,2021-01-01,9.193,8.401,8.761,7.972
growth_yoy,2022-01-01,15.654,14.946,15.223,14.518
