date,state,district,income_mean,income_median,expenditure_mean,gini,poverty
1/01/2022,Johor,Batu Pahat,7419,6347,4570,0.3383,5.1
1/01/2022,Johor,Johor Bahru,9869,8232,6139,0.3585,3.7
1/01/2022,Johor,Kluang,6461,5204,4399,0.35367,7.2
1/01/2022,Johor,Kota Tinggi,7529,6227,4498,0.34335,5
1/01/2022,Johor,Mersing,5426,4445,4032,0.33877,12.7
1/01/2022,Johor,Muar,7572,5724,4740,0.39413,6.1
1/01/2022,Johor,Pontian,6913,5616,4535,0.36093,5.1
1/01/2022,Johor,Segamat,6578,5318,4426,0.33996,7.4
1/01/2022,Johor,Kulai,9177,7460,5646,0.33673,0.4
1/01/2022,Johor,Tangkak,7093,5622,4198,0.37081,6.9
1/01/2022,Kedah,Baling,4263,3400,2732,0.34655,14.4
1/01/2022,Kedah,Bandar Baharu,4565,3922,2751,0.29146,3.9
1/01/2022,Kedah,Kota Setar,5959,4751,4253,0.34795,5.1
1/01/2022,Kedah,Kuala Muda,5624,4200,3840,0.40406,13.8
1/01/2022,Kedah,Kubang Pasu,6221,5201,4062,0.32483,3.3
1/01/2022,Kedah,Kulim,5636,4498,3647,0.35851,11.4
1/01/2022,Kedah,Langkawi,6087,5250,3680,0.30215,5.7
1/01/2022,Kedah,Padang Terap,4858,3902,3751,0.32346,8.9
1/01/2022,Kedah,Sik,5053,3703,3530,0.33313,4
1/01/2022,Kedah,Yan,4637,4080,3339,0.29118,6
1/01/2022,Kedah,Pendang,4986,3801,3562,0.34864,7.3
1/01/2022,Kedah,Pokok Sena,5494,4668,4033,0.31026,7.2
1/01/2022,Kelantan,Bachok,4811,3625,3282,0.3743,12.1
1/01/2022,Kelantan,Kota Bharu,5693,4330,3886,0.38399,10.5
1/01/2022,Kelantan,Machang,4987,3429,3267,0.41379,12
1/01/2022,Kelantan,Pasir Mas,4602,3508,3225,0.3622,9
1/01/2022,Kelantan,Pasir Puteh,4712,3453,3525,0.37796,15.9
1/01/2022,Kelantan,Tanah Merah,4177,2991,3247,0.37742,17.9
1/01/2022,Kelantan,Tumpat,4741,3749,3831,0.36652,13.5
1/01/2022,Kelantan,Gua Musang,4473,3342,3625,0.36024,18.5
1/01/2022,Kelantan,Kuala Krai,3798,2763,2853,0.39889,22.4
1/01/2022,Kelantan,Jeli,3735,2906,2746,0.35032,11.3
1/01/2022,Kelantan,Gua Musang,3153,2630,2720,0.36543,43.8
1/01/2022,Melaka,Alor Gajah,7235,5611,5338,0.34311,4.8
1/01/2022,Melaka,Jasin,7145,5895,5005,0.33157,5.5
1/01/2022,Melaka,Melaka Tengah,8593,6557,6015,0.38301,3.7
1/01/2022,Negeri Sembilan,Jelebu,4445,3636,3457,0.32552,7.3
1/01/2022,Negeri Sembilan,Kuala Pilah,4509,3471,3567,0.34594,6.8
1/01/2022,Negeri Sembilan,Port Dickson,6054,4805,4500,0.34453,4.9
1/01/2022,Negeri Sembilan,Rembau,5544,4655,3897,0.34352,3
1/01/2022,Negeri Sembilan,Seremban,7900,6384,5225,0.3543,3
1/01/2022,Negeri Sembilan,Tampin,5097,4012,3750,0.34719,7.3
1/01/2022,Negeri Sembilan,Jempol,4848,3830,3608,0.33117,8
1/01/2022,Pahang,Bentong,5563,4691,4386,0.24416,2.8
1/01/2022,Pahang,Cameron Highlands,6265,5221,4229,0.27195,1.9
1/01/2022,Pahang,Jerantut,4537,3781,3326,0.28984,8.6
1/01/2022,Pahang,Kuantan,6938,5926,4724,0.30639,4.1
1/01/2022,Pahang,Lipis,4959,4115,4016,0.2799,9.2
1/01/2022,Pahang,Pekan,4780,4053,3429,0.30294,11.6
1/01/2022,Pahang,Raub,5445,4375,4247,0.25701,2.3
1/01/2022,Pahang,Temerloh,5180,4283,3580,0.29052,6.6
1/01/2022,Pahang,Rompin,5103,4148,3695,0.32902,12
1/01/2022,Pahang,Maran,5036,4319,3586,0.28798,8.8
1/01/2022,Pahang,Bera,4567,3866,3453,0.25588,8.5
1/01/2022,Pulau Pinang,Seberang Perai Tengah,8056,6220,5008,0.37729,2.4
1/01/2022,Pulau Pinang,Seberang Perai Utara,7330,6103,4432,0.34971,3.7
1/01/2022,Pulau Pinang,Seberang Perai Selatan,7472,6231,4665,0.35956,3.1
