date,percentile,variable,income
2019-01-01,1,mean,957
2019-01-01,2,mean,1284
2019-01-01,3,mean,1556
2019-01-01,4,mean,1718
2019-01-01,5,mean,1858
2019-01-01,6,mean,1993
2019-01-01,7,mean,2111
2019-01-01,8,mean,2223
2019-01-01,9,mean,2342
2019-01-01,10,mean,2448
2019-01-01,11,mean,2521
2019-01-01,12,mean,2572
2019-01-01,13,mean,2626
2019-01-01,14,mean,2682
2019-01-01,15,mean,2747
2019-01-01,16,mean,2824
2019-01-01,17,mean,2901
2019-01-01,18,mean,2979
2019-01-01,19,mean,3051
2019-01-01,20,mean,3129
2019-01-01,21,mean,3204
2019-01-01,22,mean,3284
2019-01-01,23,mean,3361
2019-01-01,24,mean,3438
2019-01-01,25,mean,3518
2019-01-01,26,mean,3596
2019-01-01,27,mean,3679
2019-01-01,28,mean,3759
2019-01-01,29,mean,3845
2019-01-01,30,mean,3930
2019-01-01,31,mean,4013
2019-01-01,32,mean,4093
2019-01-01,33,mean,4175
2019-01-01,34,mean,4261
2019-01-01,35,mean,4344
2019-01-01,36,mean,4430
2019-01-01,37,mean,4521
2019-01-01,38,mean,4614
2019-01-01,39,mean,4704
2019-01-01,40,mean,4796
2019-01-01,41,mean,4895
2019-01-01,42,mean,4989
2019-01-01,43,mean,5083
2019-01-01,44,mean,5183
2019-01-01,45,mean,5286
2019-01-01,46,mean,5387
2019-01-01,47,mean,5497
2019-01-01,48,mean,5601
2019-01-01,49,mean,5712
2019-01-01,50,mean,5822
2019-01-01,51,mean,5931
2019-01-01,52,mean,6045
2019-01-01,53,mean,6166
2019-01-01,54,mean,6290
2019-01-01,55,mean,6413
2019-01-01,56,mean,6535
2019-01-01,57,mean,6657
2019-01-01,58,mean,6785
2019-01-01,59,mean,6909
2019-01-01,60,mean,7032
2019-01-01,61,mean,7162
2019-01-01,62,mean,7295
2019-01-01,63,mean,7441
2019-01-01,64,mean,7588
2019-01-01,65,mean,7746
2019-01-01,66,mean,7905
2019-01-01,67,mean,8064
2019-01-01,68,mean,8227
2019-01-01,69,mean,8401
2019-01-01,70,mean,8578
2019-01-01,71,mean,8760
2019-01-01,72,mean,8950
2019-01-01,73,mean,9151
2019-01-01,74,mean,9357
2019-01-01,75,mean,9582
2019-01-01,76,mean,9814
2019-01-01,77,mean,10048
2019-01-01,78,mean,10287
2019-01-01,79,mean,10544
2019-01-01,80,mean,10810
2019-01-01,81,mean,11097
2019-01-01,82,mean,11387
2019-01-01,83,mean,11712
2019-01-01,84,mean,12024
2019-01-01,85,mean,12384
2019-01-01,86,mean,12782
2019-01-01,87,mean,13212
2019-01-01,88,mean,13684
2019-01-01,89,mean,14187
2019-01-01,90,mean,14732
2019-01-01,91,mean,15350
2019-01-01,92,mean,16012
2019-01-01,93,mean,16849
2019-01-01,94,mean,17824
2019-01-01,95,mean,19093
2019-01-01,96,mean,20646
2019-01-01,97,mean,22741
2019-01-01,98,mean,25932
2019-01-01,99,mean,31805
2019-01-01,100,mean,56741
2022-01-01,1,mean,1112
2022-01-01,2,mean,1431
2022-01-01,3,mean,1639
2022-01-01,4,mean,1800
2022-01-01,5,mean,1946
2022-01-01,6,mean,2077
2022-01-01,7,mean,2189
2022-01-01,8,mean,2300
2022-01-01,9,mean,2408
2022-01-01,10,mean,2512
2022-01-01,11,mean,2608
2022-01-01,12,mean,2702
2022-01-01,13,mean,2795
2022-01-01,14,mean,2895
2022-01-01,15,mean,2990
2022-01-01,16,mean,3074
2022-01-01,17,mean,3159
2022-01-01,18,mean,3239
2022-01-01,19,mean,3319
2022-01-01,20,mean,3399
2022-01-01,21,mean,3482
2022-01-01,22,mean,3564
2022-01-01,23,mean,3652
2022-01-01,24,mean,3738
2022-01-01,25,mean,3828
2022-01-01,26,mean,3920
2022-01-01,27,mean,4009
2022-01-01,28,mean,4096
2022-01-01,29,mean,4182
2022-01-01,30,mean,4269
2022-01-01,31,mean,4357
2022-01-01,32,mean,4444
2022-01-01,33,mean,4535
2022-01-01,34,mean,4629
2022-01-01,35,mean,4719
2022-01-01,36,mean,4815
2022-01-01,37,mean,4911
2022-01-01,38,mean,5002
2022-01-01,39,mean,5099
2022-01-01,40,mean,5201
2022-01-01,41,mean,5303
2022-01-01,42,mean,5404
2022-01-01,43,mean,5512
2022-01-01,44,mean,5617
2022-01-01,45,mean,5717
2022-01-01,46,mean,5822
2022-01-01,47,mean,5935
2022-01-01,48,mean,6054
2022-01-01,49,mean,6172
2022-01-01,50,mean,6286
2022-01-01,51,mean,6396
2022-01-01,52,mean,6517
2022-01-01,53,mean,6645
2022-01-01,54,mean,6777
2022-01-01,55,mean,6908
2022-01-01,56,mean,7048
2022-01-01,57,mean,7185
2022-01-01,58,mean,7324
2022-01-01,59,mean,7468
2022-01-01,60,mean,7621
2022-01-01,61,mean,7772
2022-01-01,62,mean,7932
2022-01-01,63,mean,8094
2022-01-01,64,mean,8261
2022-01-01,65,mean,8431
2022-01-01,66,mean,8608
2022-01-01,67,mean,8786
2022-01-01,68,mean,8965
2022-01-01,69,mean,9157
2022-01-01,70,mean,9353
2022-01-01,71,mean,9556
2022-01-01,72,mean,9771
2022-01-01,73,mean,9986
2022-01-01,74,mean,10205
2022-01-01,75,mean,10438
2022-01-01,76,mean,10662
2022-01-01,77,mean,10906
2022-01-01,78,mean,11155
2022-01-01,79,mean,11412
2022-01-01,80,mean,11680
2022-01-01,81,mean,11963
2022-01-01,82,mean,12253
2022-01-01,83,mean,12557
2022-01-01,84,mean,12921
2022-01-01,85,mean,13295
2022-01-01,86,mean,13661
2022-01-01,87,mean,14073
2022-01-01,88,mean,14529
2022-01-01,89,mean,15019
