date,state,percentile,variable,income
2019-01-01,Johor,1,mean,1067
2019-01-01,Johor,2,mean,1487
2019-01-01,Johor,3,mean,1772
2019-01-01,Johor,4,mean,1997
2019-01-01,Johor,5,mean,2169
2019-01-01,Johor,6,mean,2336
2019-01-01,Johor,7,mean,2479
2019-01-01,Johor,8,mean,2551
2019-01-01,Johor,9,mean,2623
2019-01-01,Johor,10,mean,2698
2019-01-01,Johor,11,mean,2774
2019-01-01,Johor,12,mean,2861
2019-01-01,Johor,13,mean,2960
2019-01-01,Johor,14,mean,3057
2019-01-01,Johor,15,mean,3145
2019-01-01,Johor,16,mean,3232
2019-01-01,Johor,17,mean,3326
2019-01-01,Johor,18,mean,3419
2019-01-01,Johor,19,mean,3521
2019-01-01,Johor,20,mean,3627
2019-01-01,Johor,21,mean,3712
2019-01-01,Johor,22,mean,3793
2019-01-01,Johor,23,mean,3871
2019-01-01,Johor,24,mean,3963
2019-01-01,Johor,25,mean,4046
2019-01-01,Johor,26,mean,4140
2019-01-01,Johor,27,mean,4230
2019-01-01,Johor,28,mean,4327
2019-01-01,Johor,29,mean,4401
2019-01-01,Johor,30,mean,4480
2019-01-01,Johor,31,mean,4574
2019-01-01,Johor,32,mean,4649
2019-01-01,Johor,33,mean,4742
2019-01-01,Johor,34,mean,4839
2019-01-01,Johor,35,mean,4924
2019-01-01,Johor,36,mean,5001
2019-01-01,Johor,37,mean,5080
2019-01-01,Johor,38,mean,5168
2019-01-01,Johor,39,mean,5266
2019-01-01,Johor,40,mean,5363
2019-01-01,Johor,41,mean,5454
2019-01-01,Johor,42,mean,5541
2019-01-01,Johor,43,mean,5635
2019-01-01,Johor,44,mean,5726
2019-01-01,Johor,45,mean,5816
2019-01-01,Johor,46,mean,5922
2019-01-01,Johor,47,mean,6029
2019-01-01,Johor,48,mean,6135
2019-01-01,Johor,49,mean,6246
2019-01-01,Johor,50,mean,6376
2019-01-01,Johor,51,mean,6496
2019-01-01,Johor,52,mean,6609
2019-01-01,Johor,53,mean,6725
2019-01-01,Johor,54,mean,6836
2019-01-01,Johor,55,mean,6944
2019-01-01,Johor,56,mean,7049
2019-01-01,Johor,57,mean,7145
2019-01-01,Johor,58,mean,7262
2019-01-01,Johor,59,mean,7368
2019-01-01,Johor,60,mean,7486
2019-01-01,Johor,61,mean,7601
2019-01-01,Johor,62,mean,7730
2019-01-01,Johor,63,mean,7852
2019-01-01,Johor,64,mean,7948
2019-01-01,Johor,65,mean,8108
2019-01-01,Johor,66,mean,8267
2019-01-01,Johor,67,mean,8400
2019-01-01,Johor,68,mean,8548
2019-01-01,Johor,69,mean,8677
2019-01-01,Johor,70,mean,8834
2019-01-01,Johor,71,mean,8998
2019-01-01,Johor,72,mean,9165
2019-01-01,Johor,73,mean,9348
2019-01-01,Johor,74,mean,9533
2019-01-01,Johor,75,mean,9706
2019-01-01,Johor,76,mean,9905
2019-01-01,Johor,77,mean,10085
2019-01-01,Johor,78,mean,10269
2019-01-01,Johor,79,mean,10499
2019-01-01,Johor,80,mean,10715
2019-01-01,Johor,81,mean,11031
2019-01-01,Johor,82,mean,11314
2019-01-01,Johor,83,mean,11609
2019-01-01,Johor,84,mean,11933
2019-01-01,Johor,85,mean,12273
2019-01-01,Johor,86,mean,12611
2019-01-01,Johor,87,mean,12983
2019-01-01,Johor,88,mean,13355
2019-01-01,Johor,89,mean,13872
2019-01-01,Johor,90,mean,14397
2019-01-01,Johor,91,mean,14952
2019-01-01,Johor,92,mean,15595
2019-01-01,Johor,93,mean,16222
2019-01-01,Johor,94,mean,16959
2019-01-01,Johor,95,mean,17955
2019-01-01,Johor,96,mean,19316
2019-01-01,Johor,97,mean,21022
2019-01-01,Johor,98,mean,23372
2019-01-01,Johor,99,mean,28757
2019-01-01,Johor,100,mean,49315
2019-01-01,Kedah,1,mean,961
2019-01-01,Kedah,2,mean,1139
2019-01-01,Kedah,3,mean,1257
2019-01-01,Kedah,4,mean,1466
2019-01-01,Kedah,5,mean,1592
2019-01-01,Kedah,6,mean,1695
2019-01-01,Kedah,7,mean,1776
2019-01-01,Kedah,8,mean,1886
2019-01-01,Kedah,9,mean,1983
2019-01-01,Kedah,10,mean,2067
2019-01-01,Kedah,11,mean,2138
2019-01-01,Kedah,12,mean,2213
2019-01-01,Kedah,13,mean,2292
2019-01-01,Kedah,14,mean,2374
2019-01-01,Kedah,15,mean,2461
2019-01-01,Kedah,16,mean,2517
2019-01-01,Kedah,17,mean,2559
2019-01-01,Kedah,18,mean,2596
2019-01-01,Kedah,19,mean,2631
2019-01-01,Kedah,20,mean,2670
2019-01-01,Kedah,21,mean,2706
2019-01-01,Kedah,22,mean,2761
2019-01-01,Kedah,23,mean,2811
2019-01-01,Kedah,24,mean,2861
2019-01-01,Kedah,25,mean,2911
2019-01-01,Kedah,26,mean,2966
2019-01-01,Kedah,27,mean,3015
2019-01-01,Kedah,28,mean,3063
2019-01-01,Kedah,29,mean,3108
2019-01-01,Kedah,30,mean,3158
2019-01-01,Kedah,31,mean,3206
2019-01-01,Kedah,32,mean,3261
2019-01-01,Kedah,33,mean,3317
2019-01-01,Kedah,34,mean,3371
2019-01-01,Kedah,35,mean,3424
2019-01-01,Kedah,36,mean,3469
2019-01-01,Kedah,37,mean,3527
2019-01-01,Kedah,38,mean,3577
2019-01-01,Kedah,39,mean,3648
2019-01-01,Kedah,40,mean,3694
2019-01-01,Kedah,41,mean,3745
2019-01-01,Kedah,42,mean,3815
2019-01-01,Kedah,43,mean,3888
2019-01-01,Kedah,44,mean,3959
2019-01-01,Kedah,45,mean,4013
2019-01-01,Kedah,46,mean,4069
2019-01-01,Kedah,47,mean,4123
2019-01-01,Kedah,48,mean,4183
2019-01-01,Kedah,49,mean,4251
2019-01-01,Kedah,50,mean,4301
2019-01-01,Kedah,51,mean,4358
2019-01-01,Kedah,52,mean,4420
2019-01-01,Kedah,53,mean,4491
2019-01-01,Kedah,54,mean,4569
2019-01-01,Kedah,55,mean,4644
2019-01-01,Kedah,56,mean,4713
2019-01-01,Kedah,57,mean,4787
2019-01-01,Kedah,58,mean,4860
2019-01-01,Kedah,59,mean,4935
2019-01-01,Kedah,60,mean,5005
2019-01-01,Kedah,61,mean,5099
2019-01-01,Kedah,62,mean,5206
2019-01-01,Kedah,63,mean,5304
2019-01-01,Kedah,64,mean,5392
2019-01-01,Kedah,65,mean,5500
2019-01-01,Kedah,66,mean,5587
2019-01-01,Kedah,67,mean,5688
2019-01-01,Kedah,68,mean,5798
2019-01-01,Kedah,69,mean,5910
2019-01-01,Kedah,70,mean,6030
2019-01-01,Kedah,71,mean,6166
2019-01-01,Kedah,72,mean,6318
2019-01-01,Kedah,73,mean,6443
2019-01-01,Kedah,74,mean,6571
2019-01-01,Kedah,75,mean,6716
2019-01-01,Kedah,76,mean,6870
2019-01-01,Kedah,77,mean,7021
2019-01-01,Kedah,78,mean,7166
2019-01-01,Kedah,79,mean,7312
2019-01-01,Kedah,80,mean,7476
2019-01-01,Kedah,81,mean,7648
2019-01-01,Kedah,82,mean,7906
2019-01-01,Kedah,83,mean,8093
2019-01-01,Kedah,84,mean,8315
2019-01-01,Kedah,85,mean,8555
2019-01-01,Kedah,86,mean,8789
2019-01-01,Kedah,87,mean,9031
2019-01-01,Kedah,88,mean,9342
2019-01-01,Kedah,89,mean,9690
2019-01-01,Kedah,90,mean,10026
2019-01-01,Kedah,91,mean,10387
2019-01-01,Kedah,92,mean,10854
2019-01-01,Kedah,93,mean,11247
2019-01-01,Kedah,94,mean,11817
2019-01-01,Kedah,95,mean,12475
2019-01-01,Kedah,96,mean,13484
2019-01-01,Kedah,97,mean,14908
2019-01-01,Kedah,98,mean,16717
2019-01-01,Kedah,99,mean,19375
2019-01-01,Kedah,100,mean,29073
