system:index,class,.geo
0,3,"{""type"":""Polygon"",""coordinates"":[[[101.2379520464139,4.672304604590905],[101.23228722097444,4.667171858053209],[101.23889618398714,4.6618679805287675],[101.24301605703403,4.668369502271087],[101.2379520464139,4.672304604590905]]]}"
1,3,"{""type"":""Polygon"",""coordinates"":[[[101.20859795095492,4.642020858172812],[101.20499306203891,4.633636992090963],[101.21237450124788,4.631754886032938],[101.21563606741,4.639112181215542],[101.20859795095492,4.642020858172812]]]}"
2,3,"{""type"":""Polygon"",""coordinates"":[[[101.034287565883,4.709268467832998],[101.03428756588302,4.698148057547385],[101.04261314266523,4.697634803556387],[101.04347144955,4.7089263040117055],[101.034287565883,4.709268467832998]]]}"
3,3,"{""type"":""Polygon"",""coordinates"":[[[100.98473030197073,4.713803956184555],[100.98361450302052,4.705078783065212],[100.98893600570608,4.70524986594286],[100.99022346603323,4.713205173293121],[100.98473030197073,4.713803956184555]]]}"
4,3,"{""type"":""Polygon"",""coordinates"":[[[100.86282709809483,4.736414334841805],[100.86256960602941,4.728202677851214],[100.86943606110752,4.728288216446871],[100.86960772248449,4.737355247648481],[100.86282709809483,4.736414334841805]]]}"
5,3,"{""type"":""Polygon"",""coordinates"":[[[100.79277389048778,4.694569879662332],[100.79182975291454,4.684646851399859],[100.79766623973093,4.684219131496323],[100.79946868418895,4.69508313590884],[100.79277389048778,4.694569879662332]]]}"
6,3,"{""type"":""Polygon"",""coordinates"":[[[100.74522368907175,4.708769829724701],[100.74496619700632,4.699787967234436],[100.75020186900339,4.700386761670877],[100.75011603831491,4.708769829724701],[100.74522368907175,4.708769829724701]]]}"
7,3,"{""type"":""Polygon"",""coordinates"":[[[100.65329912902928,4.744524402900146],[100.64952257873631,4.739477726119339],[100.65707567932223,4.734345474647309],[100.66145304443454,4.740333097660195],[100.65329912902928,4.744524402900146]]]}"
8,3,"{""type"":""Polygon"",""coordinates"":[[[100.83272539273682,4.5561278187683465],[100.8326824773926,4.5510797927296185],[100.83577238217774,4.551165352788039],[100.83675943509522,4.5561278187683465],[100.83272539273682,4.5561278187683465]]]}"
9,3,"{""type"":""Polygon"",""coordinates"":[[[100.87858453996633,4.590252903913779],[100.8777369619176,4.589311794034323],[100.87880984552356,4.589194155212137],[100.87962523706409,4.5881247104849185],[100.88016167886707,4.587600681983781],[100.88056937463735,4.5882316550297375],[100.87858453996633,4.590252903913779]]]}"
