system:index,class,.geo
0,5,"{""type"":""Polygon"",""coordinates"":[[[101.14409068291715,4.588010183954594],[101.14409068291715,4.5859568452588775],[101.14331820672088,4.582106819297403],[101.14400485222868,4.581892928358107],[101.14499190514617,4.585186841726118],[101.14460566704801,4.588010183954594],[101.14409068291715,4.588010183954594]]]}"
1,5,"{""type"":""Polygon"",""coordinates"":[[[101.07341387611686,4.545866617296402],[101.07371428352653,4.545802446781447],[101.07444384437859,4.54988795816498],[101.07414343696891,4.549930738266282],[101.07341387611686,4.545866617296402]]]}"
2,5,"{""type"":""Polygon"",""coordinates"":[[[101.05188068194072,4.533165605947046],[101.05065759462993,4.526106690922804],[101.05089362902324,4.526085300166541],[101.05224546236673,4.533208387040132],[101.05188068194072,4.533165605947046]]]}"
3,5,"{""type"":""Polygon"",""coordinates"":[[[101.09470238665905,4.63267883994085],[101.0945307252821,4.6323152511682615],[101.10504498462048,4.626647519669306],[101.10510935763685,4.627032499094801],[101.09470238665905,4.63267883994085]]]}"
4,5,"{""type"":""Polygon"",""coordinates"":[[[101.12025847415295,4.620787251467057],[101.11995806674328,4.6205092083408035],[101.1235629556593,4.614606113167569],[101.12375607470838,4.614991099132414],[101.12025847415295,4.620787251467057]]]}"
5,5,"{""type"":""Polygon"",""coordinates"":[[[101.19023854927825,4.434351317284484],[101.19013126091765,4.434201563187751],[101.19549567894744,4.430479094460136],[101.1955600519638,4.430671636405734],[101.19023854927825,4.434351317284484]]]}"
6,5,"{""type"":""Polygon"",""coordinates"":[[[101.2120271927917,4.398301655651978],[101.21176970072625,4.398237472209723],[101.21865761347651,4.382255623169659],[101.21887219019769,4.3822770181092165],[101.2120271927917,4.398301655651978]]]}"
7,5,"{""type"":""Polygon"",""coordinates"":[[[101.03978004607231,4.54202827939533],[101.03765573653253,4.540509567591014],[101.03780594023736,4.540402615934997],[101.03990879210502,4.5417074250551845],[101.03978004607231,4.54202827939533]]]}"
8,5,"{""type"":""Polygon"",""coordinates"":[[[100.99644261450807,4.472282190653255],[100.9961636647705,4.471597635542387],[100.9958203420166,4.46973649810162],[100.9957988843445,4.467105226760093],[100.99599200339355,4.4655221809165075],[100.99633532614747,4.465543573450675],[100.99618512244263,4.466998264310724],[100.99627095313112,4.469201687618008],[100.99642115683594,4.470870295036261],[100.99676447958986,4.472068267249821],[100.99644261450807,4.472282190653255]]]}"
9,5,"{""type"":""Polygon"",""coordinates"":[[[100.79586699364494,4.347091574509351],[100.79582407830071,4.346792031260765],[100.80578043816398,4.346973896818751],[100.80569460747552,4.34718785624254],[100.79586699364494,4.347091574509351]]]}"
10,5,"{""type"":""Polygon"",""coordinates"":[[[100.77615087420112,4.325211161111538],[100.773608140055,4.3216593235559],[100.77386563212042,4.321466753574234],[100.77637617975836,4.325082781730855],[100.77615087420112,4.325211161111538]]]}"
11,5,"{""type"":""Polygon"",""coordinates"":[[[100.7291505367477,4.25954466544824],[100.73464370081018,4.267387139887728],[100.73440766641687,4.267494130799985],[100.72885423745487,4.2597053746655185],[100.7291505367477,4.25954466544824]]]}"
12,5,"{""type"":""Polygon"",""coordinates"":[[[100.69124360383113,4.233459021654353],[100.69107194245417,4.233437622528383],[100.692123368388,4.22881539745738],[100.69230575860101,4.228922393719952],[100.69124360383113,4.233459021654353]]]}"
13,5,"{""type"":""Polygon"",""coordinates"":[[[100.68293569860336,4.21243787148993],[100.68310735998031,4.212138275556666],[100.69293497381086,4.215605021440049],[100.69263456640121,4.215904616037671],[100.68293569860336,4.21243787148993]]]}"
14,5,"{""type"":""Polygon"",""coordinates"":[[[100.63946881899794,4.210571223723129],[100.63912549624402,4.210528424208471],[100.63942590365369,4.209158838496955],[100.63837447771986,4.208367045658325],[100.63858905444106,4.207939049194096],[100.63974776873549,4.208024648505752],[100.64082065234145,4.205756263568042],[100.64107814440688,4.205906062777077],[100.64004817614514,4.2081744472785285],[100.64086356768567,4.2089020409077875],[100.63985505709607,4.209201638086914],[100.63946881899794,4.210571223723129]]]}"
15,5,"{""type"":""Polygon"",""coordinates"":[[[100.70960999048303,4.784385606260329],[100.70939541376183,4.783893799255512],[100.72089654848638,4.778569543828756],[100.72100383684696,4.77882614082632],[100.70960999048303,4.784385606260329]]]}"
16,5,"{""type"":""Polygon"",""coordinates"":[[[100.76810698030654,4.785903779146502],[100.76799969194593,4.785689950531677],[100.79783614980244,4.77667299729618],[100.79795594922793,4.77683471173839],[100.76810698030654,4.785903779146502]]]}"
17,5,"{""type"":""Polygon"",""coordinates"":[[[100.71620025457457,4.803248213049481],[100.71581401647644,4.803184066100808],[100.7198051434906,4.790354555176793],[100.72001972021178,4.7905256169074555],[100.71605005086974,4.803141301465017],[100.71620025457457,4.803248213049481]]]}"
18,5,"{""type"":""Polygon"",""coordinates"":[[[100.68595794731426,4.80100693668964],[100.68246034675884,4.809944715234272],[100.68211702400492,4.809688129925042],[100.68570045524882,4.800878642364664],[100.68595794731426,4.80100693668964]]]}"
19,5,"{""type"":""Polygon"",""coordinates"":[[[100.57042640472906,5.0940339571097475],[100.57016891266365,5.093606498545584],[100.58145889821915,5.079447748017955],[100.5817378479567,5.079746975624669],[100.57042640472906,5.0940339571097475]]]}"
20,5,"{""type"":""Polygon"",""coordinates"":[[[100.65615036247993,4.917922939587545],[100.65600015877511,4.917709152790284],[100.66333868263986,4.9097776141280205],[100.66355325936104,4.909991403469688],[100.65615036247993,4.917922939587545]]]}"
21,5,"{""type"":""Polygon"",""coordinates"":[[[100.67256276415418,4.896704238917831],[100.67234818743297,4.896554583408548],[100.681316178926,4.876495650781764],[100.68146638263082,4.876623930774131],[100.67256276415418,4.896704238917831]]]}"
22,5,"{""type"":""Polygon"",""coordinates"":[[[100.7300425744265,4.8346067182828945],[100.7296992516726,4.834179091575143],[100.73712360622581,4.82598998807133],[100.737338182947,4.826439001530567],[100.7300425744265,4.8346067182828945]]]}"
23,5,"{""type"":""Polygon"",""coordinates"":[[[100.74042664799248,4.77299190582844],[100.74040519032035,4.772778073184666],[100.75718508991753,4.773205738405575],[100.75707780155692,4.773483720656227],[100.74042664799248,4.77299190582844]]]}"
24,5,"{""type"":""Polygon"",""coordinates"":[[[100.8297522657063,4.7757993599200015],[100.82977372337842,4.775350313128781],[100.83342152763866,4.775307546752389],[100.83406525780224,4.775564144970789],[100.83633977104688,4.775478612241983],[100.8363826863911,4.775735210396391],[100.83406525780224,4.7758421262657365],[100.83324986626172,4.775692444043991],[100.8297522657063,4.7757993599200015]]]}"
25,5,"{""type"":""Polygon"",""coordinates"":[[[100.94065434811758,4.718413021894643],[100.9404612290685,4.71819917234038],[100.9474135148351,4.712018891771978],[100.94756371853995,4.712254128370947],[100.94065434811758,4.718413021894643]]]}"
26,5,"{""type"":""Polygon"",""coordinates"":[[[101.07767874437329,4.666111019047178],[101.07707792955395,4.665341102664313],[101.07939535814283,4.6628174819355035],[101.08258815552382,4.660251078676278],[101.08520599152237,4.6561448139724755],[101.08606429840712,4.652444877851625],[101.08683677460341,4.6483385676012645],[101.08733030106217,4.648402728882991],[101.0867080285707,4.654611038210145],[101.08529182221085,4.657257999645686],[101.0829958512941,4.660530176092147],[101.08033590172316,4.664356791095563],[101.07767874437329,4.666111019047178]]]}"
27,5,"{""type"":""Polygon"",""coordinates"":[[[101.120910561696,4.677832481384017],[101.12121096910568,4.677746936591137],[101.12127534212202,4.686964327880196],[101.12101785005659,4.68700709971437],[101.120910561696,4.677832481384017]]]}"
28,5,"{""type"":""Polygon"",""coordinates"":[[[101.12206904502331,4.734560295548211],[101.12174717994151,4.73458168000172],[101.12203685851512,4.727321620070868],[101.12236945243296,4.727407158775314],[101.12206904502331,4.734560295548211]]]}"
29,5,"{""type"":""Polygon"",""coordinates"":[[[101.00305873047546,4.84089342966281],[101.00301581513123,4.840679618328218],[101.01464587341981,4.838327689188648],[101.01471024643617,4.83852012006163],[101.00305873047546,4.84089342966281]]]}"
