system:index,class,.geo
0,4,"{""type"":""Polygon"",""coordinates"":[[[100.39757482615104,5.067474126554006],[100.3976177414953,5.0644817873475825],[100.4201482972204,5.063712326455581],[100.41989080515495,5.066106201778675],[100.39757482615104,5.067474126554006]]]}"
1,4,"{""type"":""Polygon"",""coordinates"":[[[100.39984933939569,5.030795643826854],[100.39444200602166,5.024297608081788],[100.39877645578972,5.020065299953095],[100.40499918070428,5.025280867652829],[100.39984933939569,5.030795643826854]]]}"
2,4,"{""type"":""Polygon"",""coordinates"":[[[100.46269937703987,5.109988278925234],[100.46166940877816,5.104816139737568],[100.47020956228157,5.107124372299575],[100.46806379506965,5.110629450296883],[100.46269937703987,5.109988278925234]]]}"
3,4,"{""type"":""Polygon"",""coordinates"":[[[100.49804254579313,5.036609512276147],[100.49574657487636,5.025280759105344],[100.4981283764816,5.024746379087659],[100.50051017808683,5.036053766721632],[100.49804254579313,5.036609512276147]]]}"
4,4,"{""type"":""Polygon"",""coordinates"":[[[100.43006391031075,4.959883473558085],[100.43525666696358,4.955607995042453],[100.43690890771676,4.955650749964588],[100.43892592889597,4.953919173405798],[100.4427668522053,4.954197081060371],[100.43939799768258,4.960695811346736],[100.43006391031075,4.959883473558085]]]}"
5,4,"{""type"":""Polygon"",""coordinates"":[[[100.43572946963496,5.087959299192627],[100.43452783999628,5.08535177290708],[100.44027849612422,5.082722862764745],[100.44075056491084,5.086142581175201],[100.43572946963496,5.087959299192627]]]}"
6,4,"{""type"":""Polygon"",""coordinates"":[[[100.41350633817926,5.0614901424722385],[100.41434318739189,5.058540523773306],[100.41994363981499,5.058198538126916],[100.41833431440605,5.061148158384665],[100.41350633817926,5.0614901424722385]]]}"
7,4,"{""type"":""Polygon"",""coordinates"":[[[100.4214898694397,5.046653872128348],[100.41653314718017,5.0432766940300136],[100.41726270803223,5.042720954178373],[100.42400041707764,5.044986659820381],[100.4220477689148,5.047059987298119],[100.4214898694397,5.046653872128348]]]}"
8,4,"{""type"":""Polygon"",""coordinates"":[[[100.43830020684426,5.033701071738143],[100.434652402584,5.031435326751581],[100.43611152428811,5.02822907036724],[100.43812854546731,5.0301100760273885],[100.43830020684426,5.033701071738143]]]}"
9,4,"{""type"":""Polygon"",""coordinates"":[[[100.72376820891678,4.450608405464798],[100.7235536321956,4.436103829994433],[100.7271585211116,4.436232190320083],[100.7271585211116,4.4507795491939],[100.72376820891678,4.450608405464798]]]}"
