system:index,class,.geo
0,2,"{""type"":""Polygon"",""coordinates"":[[[101.07954502996124,4.6438645027481815],[101.07903004583038,4.642602655013724],[101.0783648579947,4.642153522224643],[101.07924462255157,4.6407633474943575],[101.08145476277984,4.642303233186108],[101.07954502996124,4.6438645027481815]]]}"
1,2,"{""type"":""Polygon"",""coordinates"":[[[101.03164240857694,4.5525367154264496],[101.03516146680447,4.546889740518724],[101.03632018109892,4.542782821873591],[101.03855177899929,4.543937895107529],[101.03687808057401,4.547488664199014],[101.03524729749294,4.553691773018267],[101.03164240857694,4.5525367154264496]]]}"
2,2,"{""type"":""Polygon"",""coordinates"":[[[101.05612384214731,4.549846204794273],[101.05530845060677,4.547279393916583],[101.05625258818002,4.546851591214342],[101.05582343473763,4.545054817091324],[101.06037246122689,4.546167106362411],[101.05814086332651,4.549675084353726],[101.05612384214731,4.549846204794273]]]}"
3,2,"{""type"":""Polygon"",""coordinates"":[[[101.09980009350902,4.754937137684536],[101.09962843213206,4.750959735199626],[101.10280416760571,4.751002503090359],[101.10452078137523,4.754252855021256],[101.09980009350902,4.754937137684536]]]}"
4,2,"{""type"":""Polygon"",""coordinates"":[[[101.09939685162308,4.722658350103221],[101.09888186749222,4.721621185495238],[101.09791627224686,4.72176018702753],[101.0973798304439,4.720167013949147],[101.09882822331194,4.719439927033278],[101.10027661617998,4.722465886684919],[101.09939685162308,4.722658350103221]]]}"
5,2,"{""type"":""Polygon"",""coordinates"":[[[100.85501522852216,4.022268150538721],[100.8567318422917,4.010281363844931],[100.8512386782292,3.9845948010038965],[100.86085171533858,3.9897321779099646],[100.86960644556318,4.01815841493922],[100.85501522852216,4.022268150538721]]]}"
6,2,"{""type"":""Polygon"",""coordinates"":[[[100.86324211782055,3.8594790019034373],[100.86392876332835,3.8507440813716096],[100.89620110219553,3.853655731518292],[100.93259331410961,3.867357480625637],[100.92658516591624,3.8694127239063993],[100.8941411656721,3.8587939133410973],[100.86324211782055,3.8594790019034373]]]}"
7,2,"{""type"":""Polygon"",""coordinates"":[[[100.62023878947267,4.242794077722714],[100.62023878947267,4.236459987035666],[100.63980818644532,4.239027867894633],[100.65748930827151,4.252038333039159],[100.65113783732423,4.257002794772669],[100.63997984782227,4.247416219227112],[100.62023878947267,4.242794077722714]]]}"
8,2,"{""type"":""Polygon"",""coordinates"":[[[100.50686755971451,4.916673402078331],[100.5040351469948,4.911713521410433],[100.50832668141861,4.9106873345953375],[100.5163947661354,4.900254345728075],[100.517939718528,4.901708132639815],[100.50686755971451,4.916673402078331]]]}"
9,2,"{""type"":""Polygon"",""coordinates"":[[[100.47112074221293,4.92791353761724],[100.46554174746194,4.922953740704834],[100.4554995569102,4.919191111479771],[100.45438375795999,4.911494758206837],[100.47112074221292,4.922953740704834],[100.47884550417581,4.924150936450316],[100.47112074221293,4.92791353761724]]]}"
10,2,"{""type"":""Polygon"",""coordinates"":[[[100.4150168276039,4.999326471412618],[100.41166943075332,4.994025191753676],[100.40420216085587,4.997188863806842],[100.4025713777748,4.993341152545584],[100.4205099916664,4.972905152558837],[100.42033833028947,4.991289030640576],[100.4150168276039,4.999326471412618]]]}"
11,2,"{""type"":""Polygon"",""coordinates"":[[[100.65633833348143,5.017961570213848],[100.6615740054785,5.007017257383022],[100.66612303196776,5.0082143005269275],[100.66466391026366,4.998295876946259],[100.67393362461911,5.0005189849541924],[100.67238867222653,5.015054505004659],[100.67427694737302,5.020099109899795],[100.65633833348143,5.017961570213848]]]}"
12,2,"{""type"":""Polygon"",""coordinates"":[[[100.67110566630974,5.051459875445485],[100.66200761333123,5.037181665292223],[100.65342454448357,5.0364121719982045],[100.65325288310663,5.027947685683842],[100.66398171916619,5.027349182484764],[100.67754296794548,5.048638457626796],[100.67110566630974,5.051459875445485]]]}"
13,2,"{""type"":""Polygon"",""coordinates"":[[[100.96520352639195,4.979379593698884],[100.95533299721714,4.96954624242742],[100.95395970620152,4.963304125894454],[100.95945287026402,4.958686631823121],[100.96400189675329,4.961764964793262],[100.9591953781986,4.965527352256729],[100.96528935708042,4.977156414090749],[100.96520352639195,4.979379593698884]]]}"
14,2,"{""type"":""Polygon"",""coordinates"":[[[101.10471382268486,5.225200192412015],[101.10660209783133,5.213233716278972],[101.10136642583426,5.216054406213091],[101.10136642583426,5.209301824323305],[101.10668792851982,5.207592298407594],[101.11029281743582,5.20964372894846],[101.11123695500906,5.224430925814881],[101.10471382268486,5.225200192412015]]]}"
15,2,"{""type"":""Polygon"",""coordinates"":[[[101.1066070363373,5.246659490752296],[101.10566289876405,5.242044035352179],[101.10858114217226,5.238454213122812],[101.11304433797305,5.236060986846016],[101.11733587239686,5.236915711568154],[101.11896665547792,5.2444372387085085],[101.11046941731875,5.242898751889628],[101.1066070363373,5.246659490752296]]]}"
16,2,"{""type"":""Polygon"",""coordinates"":[[[101.145188367555,4.297744202806566],[101.14570335168585,4.289784352674126],[101.15085319299445,4.292694415038269],[101.14810661096318,4.294834159699117],[101.14947990197881,4.297316255987195],[101.145188367555,4.297744202806566]]]}"
17,2,"{""type"":""Polygon"",""coordinates"":[[[101.03584016086486,4.208943921030367],[101.03360856296447,4.197045540577265],[101.04244912387757,4.194391920189445],[101.04210580112365,4.198072746048327],[101.04030335666565,4.198928749574964],[101.0423632931891,4.2086015241314625],[101.03584016086486,4.208943921030367]]]}"
18,2,"{""type"":""Polygon"",""coordinates"":[[[101.05312683326221,4.265455568756338],[101.04883529883838,4.2593784452070835],[101.05226852637743,4.257409789252378],[101.05553009253954,4.26160387630685],[101.05879165870165,4.2625454029102645],[101.05887748939014,4.2645140457180455],[101.05312683326221,4.265455568756338]]]}"
19,2,"{""type"":""Polygon"",""coordinates"":[[[101.05708305077583,4.423285974491795],[101.05987254815133,4.413273627085383],[101.06562320427925,4.417552424569286],[101.06347743706733,4.421403321199477],[101.05708305077583,4.423285974491795]]]}"
20,2,"{""type"":""Polygon"",""coordinates"":[[[100.88847767289886,4.415645471886823],[100.88513027604827,4.406959464905485],[100.88573109086761,4.40541907868314],[100.8828986781479,4.400027701786946],[100.88474030364752,4.400288158200931],[100.88722939361334,4.405508379048371],[100.88727230895758,4.407990110537427],[100.89053387511969,4.414879011403302],[100.88847767289886,4.415645471886823]]]}"
21,2,"{""type"":""Polygon"",""coordinates"":[[[101.01067872903765,4.093321697713219],[101.01260991952836,4.0883562011803],[101.0117516126436,4.081378770462443],[101.01385446451127,4.081207544406145],[101.01454111001908,4.087072016034919],[101.01561399362505,4.090111250885111],[101.01303907297076,4.0934501153186345],[101.01067872903765,4.093321697713219]]]}"
22,2,"{""type"":""Polygon"",""coordinates"":[[[100.99994689173418,4.0471105554155065],[101.00080519861893,4.04180230526828],[101.0115340346785,4.03752143306094],[101.01260691828448,4.041331410431332],[101.00762873835282,4.046939322082659],[101.00320845789628,4.0481807629254085],[100.99994689173418,4.0471105554155065]]]}"
23,2,"{""type"":""Polygon"",""coordinates"":[[[100.86577270108072,3.965062471979937],[100.86478564816323,3.959924941370308],[100.87461326199382,3.957698668200331],[100.88692996579019,3.961637455118806],[100.88662955838052,3.966732162555019],[100.86577270108072,3.965062471979937]]]}"
24,2,"{""type"":""Polygon"",""coordinates"":[[[100.96461053779001,5.03525224565511],[100.96332307746287,5.033969752520319],[100.97559686591501,5.016185587353578],[100.98194833686227,5.005241244773765],[100.98254915168162,5.007293322966006],[100.96461053779001,5.03525224565511]]]}"
25,2,"{""type"":""Polygon"",""coordinates"":[[[101.06041234861534,4.537227103019032],[101.0601548565499,4.534489123185491],[101.06131357084433,4.5341896560115496],[101.0611419094674,4.533419596994318],[101.06212896238486,4.533205691566121],[101.06230062376183,4.534660247229148],[101.06247228513877,4.536927636980331],[101.06041234861534,4.537227103019032]]]}"
26,2,"{""type"":""Polygon"",""coordinates"":[[[101.046330737353,4.521594758924229],[101.04603032994335,4.5194556668441335],[101.04469995427196,4.5196267944428765],[101.04504327702585,4.51877115604515],[101.04809026646677,4.518001080623774],[101.04886274266308,4.5208246865027935],[101.046330737353,4.521594758924229]]]}"
27,2,"{""type"":""Polygon"",""coordinates"":[[[101.0717009446456,4.402724417789306],[101.07320298169392,4.401269600381003],[101.07388962720174,4.397333021376477],[101.07277382825156,4.395878193436328],[101.07522000287312,4.397333021376477],[101.07667912457724,4.40135517795432],[101.0717009446456,4.402724417789306]]]}"
28,2,"{""type"":""Polygon"",""coordinates"":[[[101.06728776965666,4.351652811199876],[101.06745943103363,4.345875919665384],[101.07200845752288,4.345918711617331],[101.07166513476896,4.349855560802763],[101.06951936755705,4.350454644745034],[101.06728776965666,4.351652811199876]]]}"
29,2,"{""type"":""Polygon"",""coordinates"":[[[101.10747867585167,4.326525471371179],[101.10631996155722,4.324942126902666],[101.10627704621298,4.321775428039476],[101.10662036896689,4.319165031192812],[101.11305767060264,4.3251132994371995],[101.10747867585167,4.326525471371179]]]}"
