system:index,class,.geo
0,5,"{""type"":""Polygon"",""coordinates"":[[[100.72880927431909,4.834160286243044],[100.72910968172876,4.833967854131157],[100.73076192248193,4.8359349353649455],[100.73192063677638,4.83798753577811],[100.73157731402246,4.838115823097292],[100.73031131136744,4.835892172790192],[100.72880927431909,4.834160286243044]]]}"
1,5,"{""type"":""Polygon"",""coordinates"":[[[100.7303756843838,4.834309955625626],[100.73007527697413,4.834010616827408],[100.73694173205226,4.826334669631145],[100.73719922411769,4.826655393397997],[100.7303756843838,4.834309955625626]]]}"
2,5,"{""type"":""Polygon"",""coordinates"":[[[100.71572711886421,4.804252726380651],[100.71546962679878,4.804209961811894],[100.71909597338691,4.792748960759639],[100.71924617709176,4.792898639251979],[100.71572711886421,4.804252726380651]]]}"
3,5,"{""type"":""Polygon"",""coordinates"":[[[100.70930034159052,4.784484315106105],[100.70921451090204,4.784099422753115],[100.71509391306269,4.781405170224091],[100.71517974375116,4.781768681104514],[100.70930034159052,4.784484315106105]]]}"
4,5,"{""type"":""Polygon"",""coordinates"":[[[100.70613704078143,4.820426982123173],[100.705879548716,4.820063491841675],[100.70851884238665,4.8167706886693304],[100.70862613074725,4.816984507541379],[100.70613704078143,4.820426982123173]]]}"
5,5,"{""type"":""Polygon"",""coordinates"":[[[100.67515216224139,4.834021199848744],[100.67551694266741,4.834063962541622],[100.67564568870013,4.840264524427799],[100.6752809082741,4.840221762126536],[100.67515216224139,4.834021199848744]]]}"
6,5,"{""type"":""Polygon"",""coordinates"":[[[100.67134889732355,4.866145878876952],[100.67156347404476,4.866338301818711],[100.66885980735775,4.87236752611234],[100.66866668830868,4.872196485033477],[100.67134889732355,4.866145878876952]]]}"
7,5,"{""type"":""Polygon"",""coordinates"":[[[100.73074445267035,4.690365595424003],[100.73106631775212,4.690258666347748],[100.73108777542424,4.696610225066194],[100.73078736801459,4.696610225066194],[100.73074445267035,4.690365595424003]]]}"
8,5,"{""type"":""Polygon"",""coordinates"":[[[100.67979472896145,4.815012863746012],[100.67960160991238,4.81490595400842],[100.68157571574734,4.810950281908002],[100.68176883479643,4.811057192267062],[100.67979472896145,4.815012863746012]]]}"
9,5,"{""type"":""Polygon"",""coordinates"":[[[100.72646759078586,4.868656562687138],[100.72174690291965,4.879859720390627],[100.72165034339511,4.879816960602001],[100.72630665824495,4.868645872561985],[100.72646759078586,4.868656562687138]]]}"
