system:index,class,.geo
0,0,"{""type"":""Polygon"",""coordinates"":[[[101.08641699200082,4.573899122743971],[101.08626678829597,4.570177368600127],[101.08924940472053,4.570134589704498],[101.08939960842537,4.573877733407584],[101.08641699200082,4.573899122743971]]]}"
1,0,"{""type"":""Polygon"",""coordinates"":[[[101.07954688409616,4.564165859852973],[101.07795901635936,4.561919945562739],[101.07950396875192,4.560764901192321],[101.08117766717723,4.562946650110074],[101.07954688409616,4.564165859852973]]]}"
2,0,"{""type"":""Polygon"",""coordinates"":[[[101.10478110650827,4.555203550452949],[101.10677667001535,4.555503008896469],[101.10658355096628,4.556444163192765],[101.10999532083322,4.556957519562384],[101.10980220178415,4.559182059594046],[101.10428758004953,4.558155349665795],[101.10478110650827,4.555203550452949]]]}"
3,0,"{""type"":""Polygon"",""coordinates"":[[[101.06085353860858,4.621126509924458],[101.059308586216,4.619265758585255],[101.05810695657735,4.615437300819651],[101.05993085870746,4.6150523150968095],[101.06222682962421,4.618688283038854],[101.06085353860858,4.621126509924458]]]}"
4,0,"{""type"":""Polygon"",""coordinates"":[[[101.06218391427997,4.626002938531049],[101.06106811532977,4.622473947500293],[101.06555276880269,4.620848466931239],[101.06722646722797,4.624163587823796],[101.06218391427997,4.626002938531049]]]}"
5,0,"{""type"":""Polygon"",""coordinates"":[[[101.0667743069097,4.656947097736796],[101.0680188518926,4.656840163561795],[101.06804030956472,4.657930891384021],[101.06900590481008,4.657909504580234],[101.06823342861381,4.663855010978401],[101.06694596828665,4.663940557465904],[101.0667743069097,4.656947097736796]]]}"
6,0,"{""type"":""Polygon"",""coordinates"":[[[101.12773219323559,4.588400283569314],[101.12758198953077,4.585063607013711],[101.13466302133007,4.584913883982357],[101.13449135995312,4.5881436166954614],[101.12773219323559,4.588400283569314]]]}"
7,0,"{""type"":""Polygon"",""coordinates"":[[[101.13632110669226,4.568882743913169],[101.13632110669225,4.5669790771498215],[101.1415138633451,4.5669790771498215],[101.14147094800086,4.568882743913169],[101.13632110669226,4.568882743913169]]]}"
8,0,"{""type"":""Polygon"",""coordinates"":[[[101.15783214394682,4.452811202947936],[101.16163015191191,4.4529395603642925],[101.16141557519072,4.457004200296692],[101.1572527867996,4.4567474868604195],[101.15783214394682,4.452811202947936]]]}"
9,0,"{""type"":""Polygon"",""coordinates"":[[[101.12373800317945,4.501373642898198],[101.12581939737501,4.501223902488448],[101.1274930958003,4.504454010204698],[101.12369508783522,4.504411227414773],[101.12373800317945,4.501373642898198]]]}"
