area,center_lat,center_lon,dead,displaced,end_date,id,main_cause,primary_country,severity,start_date
316733252.9765625,-31.268059,143.6978,1,200,951868800000,DFO_1586_From_20000218_to_20000301,Monsoonal rain,Australia,2.0,950832000000
250199955.14453125,-15.782624,47.29567,200,800000,952732800000,DFO_1587_From_20000217_to_20000311,Tropical cyclone,Madagascar,1.0,950745600000
89103768.2421875,46.763746,22.415404,10,623,956620800000,DFO_1595_From_20000405_to_20000425,Snowmelt,Romania,2.0,954892800000
4397571148.046875,11.242567,105.063841,33,25000,965865600000,DFO_1614_From_20000711_to_20000810,Monsoonal rain,Thailand,1.0,963273600000
919462837.4257812,43.773883,132.057679,31,14140,968544000000,DFO_1627_From_20000830_to_20000910,Tropical cyclone,China,1.0,967593600000
102308088.41015625,25.229313,113.483009,47,46000,968198400000,DFO_1631_From_20000901_to_20000906,Heavy rain,China,1.0,967766400000
15672789528.710938,24.084064,88.5453,1468,24000000,972086400000,DFO_1641_From_20000918_to_20001021,Monsoonal rain,India,2.0,969235200000
35592744984.62305,58.489746,106.619051,7,70000,991958400000,DFO_1725_From_20010512_to_20010608,Snowmelt,Russia,2.0,989625600000
515251932.40625,21.055916,84.798732,100,2000000,997401600000,DFO_1747_From_20010708_to_20010810,Monsoonal rain,India,2.0,994550400000
1384613753.4296875,14.996666,34.427661,5,45000,1000339200000,DFO_1772_From_20010806_to_20010913,Heavy rain,Sudan,1.0,997056000000
3913156812.0351562,9.326659,16.260548,100,40000,1002758400000,DFO_1778_From_20010819_to_20011011,Brief torrential rain,Chad,1.0,998179200000
26998991044.734375,11.768371,105.382431,416,1060000,1006128000000,DFO_1781_From_20010815_to_20011119,Monsoonal rain,Cambodia,2.0,997833600000
4464145261.996094,26.755588,83.051328,65,300000,1000166400000,DFO_1789_From_20010820_to_20010911,Heavy rain,India,1.0,998265600000
4077150795.0273438,26.532079,84.869961,146,30000,1001289600000,DFO_1791_From_20010907_to_20010924,Heavy rain,India,1.0,999820800000
908009883.421875,10.549334,-9.227085,11,43500,1002585600000,DFO_1793_From_20010818_to_20011009,Heavy rain,Guinea,2.0,998092800000
16973882496.382812,-32.897203,-61.214816,2,14500,1007164800000,DFO_1810_From_20011001_to_20011201,Heavy rain,Argentina,2.0,1001894400000
1042759154.1914062,22.339364,-80.201721,19,27118340,1005782400000,DFO_1818_From_20011026_to_20011115,Tropical cyclone,Nicaragua,1.0,1004054400000
61947.5859375,0.491533,42.508939,0,6000,1005696000000,DFO_1820_From_20011101_to_20011114,Heavy rain,Somalia,1.0,1004572800000
1416045681.9296875,35.18328,-89.868418,1,400,1007683200000,DFO_1829_From_20011128_to_20011207,Heavy rain,USA,1.0,1006905600000
4108358899.90625,34.93086,-91.79578,3,100,1009238400000,DFO_1840_From_20011217_to_20011225,Heavy rain,USA,1.0,1008547200000
3531559866.5351562,-11.878068,-50.481932,0,0,1017705600000,DFO_1885_From_20020115_to_20020402,Heavy rain,Brazil,1.0,1011052800000
233304183.3359375,7.310603,43.063067,0,4000,1019347200000,DFO_1907_From_20020416_to_20020421,Heavy rain,Ethiopia,1.0,1018915200000
1470540.22265625,24.981838,91.52004,0,0,1020038400000,DFO_1908_From_20020418_to_20020429,"Dam/Levy, break or release",Bangladesh,1.0,1019088000000
16267098288.43164,58.045386,67.244613,0,6000,1020729600000,DFO_1910_From_20020422_to_20020507,Snowmelt,Russia,1.0,1019433600000
3975048997.7421875,-0.075707,33.544103,160,168000,1022544000000,DFO_1917_From_20020426_to_20020528,Heavy rain,Africa,2.0,1019779200000
2879288827.9375,39.195432,-88.288297,9,100,1023494400000,DFO_1919_From_20020507_to_20020608,Heavy rain,USA,1.0,1020729600000
7359999769.810547,58.692261,64.578305,0,1000,1023321600000,DFO_1921_From_20020507_to_20020606,Heavy rain,Russia,1.0,1020729600000
