center_lat,center_lon,end_date,flood_id,primary_country,severity,start_date
-31.268059,143.6978,951868800000,1586,Australia,2.0,950832000000
-15.782624,47.29567,952732800000,1587,Madagascar,1.0,950745600000
46.763746,22.415404,956620800000,1595,Romania,2.0,954892800000
11.242567,105.063841,965865600000,1614,Thailand,1.0,963273600000
43.773883,132.057679,968544000000,1627,China,1.0,967593600000
25.229313,113.483009,968198400000,1631,China,1.0,967766400000
24.084064,88.5453,972086400000,1641,India,2.0,969235200000
58.489746,106.619051,991958400000,1725,Russia,2.0,989625600000
21.055916,84.798732,997401600000,1747,India,2.0,994550400000
14.996666,34.427661,1000339200000,1772,Sudan,1.0,997056000000
9.326659,16.260548,1002758400000,1778,Chad,1.0,998179200000
11.768371,105.382431,1006128000000,1781,Cambodia,2.0,997833600000
26.755588,83.051328,1000166400000,1789,India,1.0,998265600000
26.532079,84.869961,1001289600000,1791,India,1.0,999820800000
10.549334,-9.227085,1002585600000,1793,Guinea,2.0,998092800000
-32.897203,-61.214816,1007164800000,1810,Argentina,2.0,1001894400000
22.339364,-80.201721,1005782400000,1818,Nicaragua,1.0,1004054400000
0.491533,42.508939,1005696000000,1820,Somalia,1.0,1004572800000
35.18328,-89.868418,1007683200000,1829,USA,1.0,1006905600000
34.93086,-91.79578,1009238400000,1840,USA,1.0,1008547200000
-11.878068,-50.481932,1017705600000,1885,Brazil,1.0,1011052800000
7.310603,43.063067,1019347200000,1907,Ethiopia,1.0,1018915200000
24.981838,91.52004,1020038400000,1908,Bangladesh,1.0,1019088000000
58.045386,67.244613,1020729600000,1910,Russia,1.0,1019433600000
-0.075707,33.544103,1022544000000,1917,Africa,2.0,1019779200000
39.195432,-88.288297,1023494400000,1919,USA,1.0,1020729600000
58.692261,64.578305,1023321600000,1921,Russia,1.0,1020729600000
-26.67674,-57.810991,1022544000000,1925,Paraguay,1.0,1020643200000
62.880691,131.950433,1022889600000,1931,Russia,1.0,1022198400000
35.652728,36.330046,1023321600000,1938,Syria,1.0,1023148800000
-32.486429,-55.950506,1020902400000,1939,Uruguay,1.0,1019520000000
47.340749,-95.906382,1025308800000,1943,USA,2.0,1023494400000
22.001825,-79.430735,1024185600000,1951,Cuba,1.0,1023840000000
43.99291,43.255015,1025481600000,1962,Russia,2.0,1024444800000
29.663348,115.253472,1026518400000,1971,China,1.0,1025395200000
29.532606,-98.359295,1027382400000,1972,Texas,2.0,1025395200000
25.841781,89.269578,1030492800000,1974,India,1.0,1024617600000
7.059215,-70.784933,1026086400000,1977,Columbia,1.0,1025827200000
41.092153,-101.73755,1026086400000,1979,USA,1.0,1025913600000
27.57515,83.355221,1026172800000,1980,Nepal,1.0,1026000000000
15.340286,120.562734,1027036800000,1981,Philippines,1.0,1025913600000
-36.951818,174.757299,1026691200000,1985,New Zealand,1.0,1026432000000
10.501685,105.253898,1038787200000,1991,Vietnam,1.0,1026691200000
47.646899,26.177966,1027382400000,1995,Romania,1.0,1027036800000
7.565261,-69.306735,1028073600000,1996,Venezuela,1.0,1027123200000
43.882229,132.379911,1027641600000,1997,Russia,1.0,1027123200000
14.669288,121.062794,1027814400000,1998,Philippines,1.0,1027123200000
27.696051,85.306497,1029369600000,1999,Nepal,1.0,1027209600000
62.233308,-156.215507,1022803200000,2007,USA,1.0,1019865600000
-34.013343,18.579803,1028332800000,2009,South Africa,1.0,1027814400000
24.46072,116.272368,1029110400000,2019,China,1.0,1028505600000
26.778129,112.817215,1030492800000,2023,China,1.0,1028592000000
48.568393,13.029419,1030492800000,2024,Germany,2.0,1028678400000
37.523287,55.552555,1029283200000,2029,Iran,1.0,1028937600000
22.564405,104.67945,1029974400000,2035,Vietnam,2.0,1029283200000
16.772387,103.52736,1038268800000,2039,Thailand,2.0,1029628800000
22.418744,95.753361,1031097600000,2041,Burma,2.0,1029542400000
-35.862785,-72.131113,1030579200000,2042,Chile,1.0,1030147200000
35.43766,128.621321,1031011200000,2045,South Korea,1.0,1030752000000
45.934582,133.884674,1031270400000,2046,Russia,1.0,1030492800000
21.539107,73.220062,1031270400000,2049,India,1.0,1031011200000
44.034528,4.447589,1031788800000,2052,France,1.0,1031443200000
29.65109,-96.029696,1032393600000,2056,USA,1.0,1031270400000
18.577824,105.175058,1033344000000,2059,Vietnam,2.0,1032480000000
41.397529,19.773795,1034035200000,2060,Albania,1.0,1032566400000
14.974281,100.951102,1038787200000,2061,Thailand,1.0,1032220800000
29.87028,-90.011936,1033257600000,2063,USA,1.0,1032998400000
22.381538,-83.979545,1033948800000,2064,USA,1.0,1033257600000
34.607325,-89.924261,1034380800000,2066,USA,1.0,1034208000000
-31.071974,-60.10113,1036195200000,2070,Argentina,1.0,1034380800000
-31.619618,-57.96164,1036972800000,2073,Uruguay,1.0,1034380800000
60.335681,-150.891253,1035763200000,2075,USA,2.0,1035417600000
29.65109,-96.029696,1037145600000,2076,USA,1.0,1035331200000
14.206227,108.878131,1035849600000,2077,Vietnam,1.0,1035590400000
24.269423,113.384882,1036195200000,2079,China,1.0,1035763200000
-43.667295,172.869147,1037836800000,2090,New Zealand,1.0,1037664000000
33.109088,-7.098795,1038528000000,2097,Morocco,2.0,1038096000000
45.829287,8.642375,1038873600000,2099,Italy,1.0,1037923200000
43.730782,4.145883,1039824000000,2103,France,1.0,1039737600000
38.939731,-122.478319,1040688000000,2104,USA,1.0,1039824000000
0.977528,100.517101,1040342400000,2106,Indonesia,1.0,1039910400000
31.833155,-92.620622,1041811200000,2115,USA,1.0,1041379200000
51.264587,-0.543564,1041811200000,2116,UK,1.0,1041379200000
49.2074,5.62514,1041984000000,2117,Germany,1.0,1041379200000
-14.766118,38.874709,1045440000000,2119,Malawi,1.0,1041379200000
-16.48569,-64.944989,1041984000000,2120,Bolivia,1.0,1041552000000
-2.428747,113.005128,1044489600000,2127,Indonesia,2.0,1042502400000
-29.455848,-60.978623,1043971200000,2130,Argentina,1.0,1042416000000
2.467598,102.893883,1044835200000,2134,Malaysia,1.0,1043020800000
57.049015,-2.498648,1043280000000,2136,UK,1.0,1043193600000
-17.930109,139.396536,1046908800000,2137,Australia,1.0,1043193600000
-13.374411,-70.432286,1044835200000,2138,Peru,1.0,1043280000000
41.347305,15.920488,1043625600000,2140,Italy,1.0,1043452800000
-22.496397,118.21192,1044316800000,2143,Australia,1.0,1043539200000
-15.87345,-69.309972,1044835200000,2145,Peru,1.0,1043712000000
-7.046763,107.641486,1044748800000,2148,Indonesia,1.0,1043884800000
-23.771908,150.372737,1045008000000,2152,Australia,1.0,1044403200000
-22.278126,146.722097,1045180800000,2154,Australia,1.0,1044921600000
-6.973194,107.603981,1045440000000,2158,Indonesia,1.0,1045353600000
27.524729,68.067654,1045872000000,2160,Pakistan,1.0,1045353600000
-12.176378,21.700514,1057017600000,2161,Zambia,2.0,1042588800000
-10.439194,18.014563,1045699200000,2162,Angola,1.0,1044489600000
31.463349,-90.065158,1047859200000,2167,USA,1.0,1045872000000
43.302177,-1.165927,1045094400000,2169,Spain,1.0,1044403200000
-29.212829,138.397895,1048464000000,2170,Australia,1.0,1045872000000
39.608875,22.223743,1044576000000,2172,Greece,1.0,1043625600000
-11.878068,-50.481932,1050969600000,2173,Brazil,1.0,1042243200000
41.591029,26.714824,1046649600000,2174,Turkey,1.0,1042761600000
38.089335,28.31203,1047427200000,2175,Turkey,1.0,1044316800000
-17.970507,124.222901,1047340800000,2176,Australia,1.0,1046563200000
37.41102,-88.017873,1046995200000,2177,USA,1.0,1046217600000
-21.37826,32.664524,1047772800000,2178,Mozambique,1.0,1046822400000
41.834366,-1.035382,1047254400000,2179,Spain,1.0,1046304000000
-14.085462,133.126397,1047859200000,2180,Australia,1.0,1046995200000
-16.066257,27.689975,1047686400000,2181,Zambia,2.0,1047340800000
47.715919,-104.728709,1048204800000,2182,USA,1.0,1047859200000
35.151636,-81.775621,1049068800000,2183,USA,1.0,1048032000000
48.240995,33.319354,1049414400000,2187,Ukraine,1.0,1048291200000
44.383722,133.05758,1050019200000,2191,Russia,1.0,1048550400000
52.57734,25.203028,1052092800000,2193,Belarus,1.0,1048291200000
-19.764418,34.90579,1048809600000,2194,Mozambique,1.0,1048636800000
45.104961,-63.985665,1049328000000,2198,Canada,1.0,1049068800000
40.941743,47.192685,1054684800000,2206,Azerbaijan,1.0,1050451200000
55.453563,64.739289,1054080000000,2208,Russia,1.0,1050451200000
52.553105,35.708239,1053216000000,2209,Russia,1.0,1050364800000
57.820476,79.316216,1052784000000,2214,Russia,1.0,1051056000000
-31.579077,-60.497122,1052524800000,2216,Argentina,2.0,1051488000000
-4.402145,143.695571,1052006400000,2220,Papua New Guinea,1.0,1050278400000
63.531266,42.394583,1053043200000,2221,Russia,1.0,1051747200000
-1.503825,103.543957,1052179200000,2222,Indonesia,1.0,1051920000000
5.371116,44.63536,1053388800000,2224,Ethiopia,1.0,1052006400000
35.214217,-85.484459,1052870400000,2225,USA,2.0,1052179200000
62.878733,128.129536,1056067200000,2238,Russia,1.0,1053993600000
26.170616,90.853814,1065744000000,2248,Bangladesh,2.0,1055289600000
38.357408,-82.363306,1055980800000,2253,USA,1.0,1055462400000
21.923872,91.932656,1057190400000,2257,Bangladesh,1.0,1055980800000
28.83099,118.401191,1059350400000,2261,China,1.0,1056326400000
7.043913,124.376833,1056585600000,2264,Philippines,1.0,1056499200000
32.51656,115.717939,1060214400000,2269,China,2.0,1057017600000
39.788686,-85.976116,1058745600000,2273,USA,2.0,1057363200000
20.574716,95.503476,1062374400000,2276,Burma,1.0,1057104000000
28.731898,72.2101,1062374400000,2279,Pakistan,1.0,1058227200000
16.501894,121.26678,1058918400000,2284,Philippines,1.0,1058572800000
47.943961,124.701838,1065744000000,2296,China,1.0,1059264000000
10.996461,20.249655,1067731200000,2303,Chad,1.0,1059868800000
12.394812,4.735272,1065916800000,2311,Nigeria,1.0,1060041600000
12.63425,10.012759,1065916800000,2314,Nigeria,1.0,1060041600000
15.939171,-12.940183,1067990400000,2316,Senegal,1.0,1060387200000
14.211698,-3.10202,1066521600000,2320,Mali,1.0,1060473600000
-41.693254,147.481311,1061942400000,2330,Australia,2.0,1061683200000
35.681249,107.984942,1068595200000,2332,China,2.0,1061683200000
44.70018,44.369848,1062115200000,2336,Russia,1.0,1061942400000
30.031634,103.018185,1062201600000,2337,China,1.0,1061856000000
20.625759,85.893641,1066608000000,2338,India,1.0,1061942400000
39.734374,-86.61734,1063065600000,2342,USA,2.0,1062374400000
10.514296,7.48686,1067299200000,2345,Nigeria,1.0,1062720000000
17.372818,101.592527,1065916800000,2347,Thailand,1.0,1063324800000
35.234941,128.019188,1063584000000,2348,South Korea,1.0,1063324800000
23.605828,-110.095624,1064966400000,2356,Mexico,1.0,1064188800000
43.723115,4.157209,1064275200000,2359,France,1.0,1064188800000
8.877517,11.923531,1065744000000,2361,Nigeria,1.0,1064188800000
27.63037,-99.205473,1066953600000,2366,USA,2.0,1065916800000
14.767484,108.846404,1066780800000,2368,Vietnam,1.0,1066176000000
12.559171,99.789967,1067904000000,2370,Thailand,2.0,1066348800000
